Season	Fruiting_intensity	Height	Percentage	Month	Adult_male	Green
WET	0.90	6.28	22.50	Jan	7.06	7.06
WET	0.85	6.28	21.25	Feb	8.51	8.48
WET	1.80	4.97	45.00	Mar	0.00	7.71
DRY	2.53	6.89	63.13	Apr	9.22	0.00
DRY	3.00	3.52	75.00	May	6.45	7.77
DRY	3.00	3.52	75.00	Jun	6.03	5.93
DRY	3.06	3.25	76.43	Jul	10.54	7.22
DRY	1.80	2.96	45.00	Aug	14.43	11.30
DRY	1.38	4.38	34.44	Sep	11.88	14.23
WET	1.26	4.24	31.39	Oct	10.63	13.51
WET	2.62	7.89	65.42	Nov	9.10	12.54
WET	2.03	7.89	50.83	Dec	9.08	12.03
WET	1.23	4.12	30.75	Jan	8.14	7.68
WET	2.79	3.45	69.72	Feb	10.00	13.20
WET	2.17	3.68	54.36	Mar	5.22	3.90
DRY	1.69	3.39	42.19	Apr	0.00	0.00
DRY	2.14	2.68	53.57	May	3.62	1.62
DRY	2.29	4.60	57.14	Jun	3.78	3.46
DRY	2.14	4.60	53.61	Jul	8.54	0.00
DRY	1.11	3.90	27.81	Aug	9.26	8.10
DRY	1.45	4.68	36.18	Sep	6.57	7.19
WET	1.86	8.02	46.61	Oct	7.40	5.96
WET	2.50	7.31	62.50	Nov	11.36	8.91
WET	2.30	8.33	57.50	Dec	13.11	6.03
